ncalls, tottime, percall, cumtime, percall, filename:lineno(function)
839, 0.001, 0.000, 0.003, 0.000, inspect.py:2873(replace)
798/705, 0.000, 0.000, 0.001, 0.000, typing.py:933(__hash__)
788, 0.000, 0.000, 0.000, 0.000, __init__.py:950(<lambda>)
786, 0.000, 0.000, 0.002, 0.000, _builtins.py:128(_get_builtin_table)
786, 0.000, 0.000, 0.002, 0.000, _builtins.py:161(_register_builtin)
783, 0.000, 0.000, 0.000, 0.000, {method, '__subclasses__' of 'type' objects}
781, 0.000, 0.000, 0.000, 0.000, {function, _typedict.__getitem__ at 0x7fa7f038eaf0}
778, 0.015, 0.000, 0.015, 0.000, {built-in, method torch._C._jit_get_operation}
778, 0.000, 0.000, 0.000, 0.000, _ops.py:419(__init__)
778, 0.002, 0.000, 0.018, 0.000, _ops.py:553(__getattr__)
778, 0.000, 0.000, 0.000, 0.000, __init__.py:674(_get)
769, 0.000, 0.000, 0.000, 0.000, utils.py:45(<genexpr>)
763/756, 0.000, 0.000, 0.001, 0.000, {built-in, method builtins.repr}
744, 0.000, 0.000, 0.000, 0.000, {built-in, method builtins.vars}
742/299, 0.001, 0.000, 0.028, 0.000, sre_parse.py:435(_parse_sub)
726, 0.000, 0.000, 0.001, 0.000, typing.py:837(<genexpr>)
715, 0.001, 0.000, 0.004, 0.000, inspect.py:1840(_signature_bound_method)
710, 0.000, 0.000, 0.000, 0.000, {method, 'remove' of 'set' objects}
709, 0.000, 0.000, 0.001, 0.000, {built-in, method builtins.sum}
709, 0.000, 0.000, 0.000, 0.000, {built-in, method sys.intern}
698, 0.000, 0.000, 0.000, 0.000, {method, '__contains__' of 'frozenset' objects}
698, 0.000, 0.000, 0.000, 0.000, ast.py:244(iter_fields)
689, 0.000, 0.000, 0.000, 0.000, conflict.py:63(<lambda>)
685, 0.000, 0.000, 0.000, 0.000, {method, 'update' of 'set' objects}
673, 0.000, 0.000, 0.000, 0.000, _beartype.py:34(_no_op_decorator)
664, 0.000, 0.000, 0.000, 0.000, _pytree.py:89(_is_namedtuple_instance)
664, 0.000, 0.000, 0.001, 0.000, _pytree.py:99(_get_node_type)
658, 0.000, 0.000, 0.001, 0.000, dataclasses.py:416(_field_init)
657, 0.000, 0.000, 0.000, 0.000, dataclasses.py:244(__init__)
657, 0.000, 0.000, 0.001, 0.000, dataclasses.py:322(field)
657, 0.002, 0.000, 0.005, 0.000, dataclasses.py:671(_get_field)
643, 0.000, 0.000, 0.000, 0.000, _docscrape.py:91(peek)
642, 0.000, 0.000, 0.000, 0.000, dataclasses.py:404(_field_assign)
640, 0.000, 0.000, 0.000, 0.000, dataclasses.py:470(_init_param)
636, 0.000, 0.000, 0.000, 0.000, typing_extensions.py:198(<listcomp>)
631, 0.000, 0.000, 0.000, 0.000, inspect.py:2275(<lambda>)
628, 0.000, 0.000, 0.001, 0.000, _pytree.py:105(_is_leaf)
628, 0.000, 0.000, 0.000, 0.000, _pytree.py:121(<listcomp>)
628, 0.000, 0.000, 0.001, 0.000, _pytree.py:120(__post_init__)
628/550, 0.000, 0.000, 0.003, 0.000, _pytree.py:143(tree_flatten)
628/550, 0.000, 0.000, 0.001, 0.000, _pytree.py:165(tree_unflatten)
622, 0.001, 0.000, 0.001, 0.000, {built-in, method numpy.array}
618, 0.000, 0.000, 0.000, 0.000, _inspect.py:13(ismethod)
618, 0.000, 0.000, 0.000, 0.000, _inspect.py:26(isfunction)
618, 0.000, 0.000, 0.002, 0.000, _inspect.py:96(getargspec)
614, 0.000, 0.000, 0.000, 0.000, _inspect.py:41(iscode)
614, 0.001, 0.000, 0.001, 0.000, _inspect.py:65(getargs)
608, 0.000, 0.000, 0.000, 0.000, posixpath.py:41(_get_sep)
608/16, 0.000, 0.000, 0.001, 0.000, copy.py:128(deepcopy)
603, 0.000, 0.000, 0.000, 0.000, __init__.py:419(<genexpr>)
598, 0.000, 0.000, 0.002, 0.000, re.py:203(sub)
594, 0.000, 0.000, 0.000, 0.000, sre_compile.py:595(isstring)
592, 0.000, 0.000, 0.001, 0.000, _pytree.py:136(__init__)
592, 0.002, 0.000, 0.025, 0.000, __init__.py:31(_add_op_to_registry)
573/399, 0.000, 0.000, 0.012, 0.000, typing.py:352(__getitem__)
572, 0.000, 0.000, 0.000, 0.000, utils.py:306(<genexpr>)
